Cecha,Typ,Przykład_train_mean
MinTemp,numeryczna,0.0
MaxTemp,numeryczna,0.0
Rainfall,numeryczna,0.0
Evaporation,numeryczna,-0.0
Sunshine,numeryczna,0.0
WindGustSpeed,numeryczna,-0.0
WindSpeed9am,numeryczna,0.0
WindSpeed3pm,numeryczna,0.0
Humidity9am,numeryczna,0.0
Humidity3pm,numeryczna,0.0
Pressure9am,numeryczna,-0.0
Pressure3pm,numeryczna,-0.0
Cloud9am,numeryczna,0.0
Cloud3pm,numeryczna,-0.0
Temp9am,numeryczna,-0.0
Temp3pm,numeryczna,-0.0
RainToday,numeryczna,-0.0
WindGustDir_sin,numeryczna,-0.0
WindGustDir_cos,numeryczna,0.0
WindDir9am_sin,numeryczna,0.0
WindDir9am_cos,numeryczna,-0.0
WindDir3pm_sin,numeryczna,-0.0
WindDir3pm_cos,numeryczna,0.0
TempRange,numeryczna,-0.0
PressureChange,numeryczna,-0.0
HumidityChange,numeryczna,-0.0
Location_Adelaide,OHE,0.0221
Location_Albany,OHE,0.0215
Location_Albury,OHE,0.0213
Location_AliceSprings,OHE,0.0215
Location_BadgerysCreek,OHE,0.0207
Location_Ballarat,OHE,0.0214
Location_Bendigo,OHE,0.0215
Location_Brisbane,OHE,0.0229
Location_Cairns,OHE,0.0215
Location_Canberra,OHE,0.0254
Location_Cobar,OHE,0.0212
Location_CoffsHarbour,OHE,0.021
Location_Dartmoor,OHE,0.0206
Location_Darwin,OHE,0.0231
Location_GoldCoast,OHE,0.0214
Location_Hobart,OHE,0.0231
Location_Katherine,OHE,0.0067
Location_Launceston,OHE,0.0215
Location_Melbourne,OHE,0.0203
Location_MelbourneAirport,OHE,0.0212
Location_Mildura,OHE,0.0212
Location_Moree,OHE,0.0205
Location_MountGambier,OHE,0.0215
Location_MountGinini,OHE,0.0202
Location_Newcastle,OHE,0.021
Location_Nhil,OHE,0.0067
Location_NorahHead,OHE,0.0206
Location_NorfolkIsland,OHE,0.0212
Location_Nuriootpa,OHE,0.0212
Location_PearceRAAF,OHE,0.0189
Location_Penrith,OHE,0.0209
Location_Perth,OHE,0.0231
Location_PerthAirport,OHE,0.0212
Location_Portland,OHE,0.0211
Location_Richmond,OHE,0.0207
Location_Sale,OHE,0.0212
Location_SalmonGums,OHE,0.0207
Location_Sydney,OHE,0.0245
Location_SydneyAirport,OHE,0.0212
Location_Townsville,OHE,0.0215
Location_Tuggeranong,OHE,0.0212
Location_Uluru,OHE,0.0063
Location_WaggaWagga,OHE,0.0212
Location_Walpole,OHE,0.0196
Location_Watsonia,OHE,0.0212
Location_Williamtown,OHE,0.0177
Location_Witchcliffe,OHE,0.0208
Location_Wollongong,OHE,0.0212
Location_Woomera,OHE,0.0211
Season_Autumn,OHE,0.2448
Season_Spring,OHE,0.262
Season_Summer,OHE,0.2317
Season_Winter,OHE,0.2615
